평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000002,2050146010,전라남도교육청벌교도서관,전남,보성군,73711,4,695,23016,68600
2023,LIBTYPE000002,2050146009,전라남도교육청보성도서관,전남,보성군,90162,6,1126,39264,90500
2023,LIBTYPE000002,2050146017,전라남도교육청영광도서관,전남,영광군,93353,6,2392,90176,110000
2023,LIBTYPE000002,2050146014,전라남도교육청영암도서관,전남,영암군,76676,3,475,22123,64982
2023,LIBTYPE000002,2050146018,전라남도교육청장성도서관,전남,장성군,124624,7,2442,90988,154500
2023,LIBTYPE000002,2050146012,전라남도교육청장흥도서관,전남,장흥군,62323,4,674,20897,64720
2023,LIBTYPE000002,2050146019,전라남도교육청진도도서관,전남,진도군,93436,4,990,25316,54972
2023,LIBTYPE000002,2050146016,전라남도교육청함평도서관,전남,함평군,71220,4,468,17131,65072
2023,LIBTYPE000002,2050146013,전라남도교육청해남도서관,전남,해남군,88516,5,1150,33951,74998
2023,LIBTYPE000002,2050146011,전라남도교육청화순도서관,전남,화순군,110884,6,70622,70622,90486
2023,LIBTYPE000002,2050145012,전라북도교육청무주도서관,전북,무주군,59062,3,2854,13819,32160
2023,LIBTYPE000002,2050145009,전라북도교육청완주도서관,전북,완주군,42832,3,175,1089,32160
2023,LIBTYPE000002,2050145008,전라북도교육청임실도서관,전북,임실군,53851,3,358,11401,30000
2023,LIBTYPE000002,2050145011,전라북도교육청장수도서관,전북,장수군,49965,3,9335,9335,42160
2023,LIBTYPE000002,2050145004,전라북도교육청진안도서관,전북,진안군,53632,3,192,896,30000
2023,LIBTYPE000002,2060145015,정읍시립도서관신태인분관,전북,정읍시,58477,2,809,22489,40000
2023,LIBTYPE000002,2050144017,충청남도교육청평생교육원,충남,천안시,183092,8,2309,108740,88400
2023,LIBTYPE000002,2060141077,포천시립영중꿈나무도서관,경기,포천시,32883,0,308,1847,8028
2023,LIBTYPE000002,2060147035,포항시립어린이영어도서관,경북,포항시,26086,2,1714,54475,24050
2023,LIBTYPE000002,2050148012,경상남도교육청 거제도서관,경남,거제시,119132,5,9727,351799,169480
2023,LIBTYPE000002,2050148023,경상남도교육청 거창도서관,경남,거창군,63119,5,15706,51883,88940
2023,LIBTYPE000002,2050148018,경상남도교육청 고성도서관,경남,고성군,102055,7,12648,54198,113019
2023,LIBTYPE000002,2050148007,경상남도교육청 김해도서관,경남,김해시,364372,19,14177,294488,252340
2023,LIBTYPE000002,2050148016,경상남도교육청 남지도서관,경남,창녕군,89220,4,8641,34448,70840
2023,LIBTYPE000002,2050148019,경상남도교육청 남해도서관,경남,남해군,89016,4,10381,40347,84840
2023,LIBTYPE000002,2050148002,경상남도교육청 마산도서관,경남,창원시,299601,15,11447,294381,245678
2023,LIBTYPE000002,2050148009,경상남도교육청 밀양도서관,경남,밀양시,95292,4,3315,25124,86990
2023,LIBTYPE000002,2050148006,경상남도교육청 사천도서관,경남,사천시,93420,7,16150,113953,83440
2023,LIBTYPE000002,2050148021,경상남도교육청 산청도서관,경남,산청군,89613,4,2473,28044,78440
2023,LIBTYPE000002,2050148017,경상남도교육청 양산도서관,경남,양산시,128585,6,8840,177425,121940
2023,LIBTYPE000002,2050148013,경상남도교육청 의령도서관,경남,의령군,79882,6,2601,44127,100404
2023,LIBTYPE000002,2050148003,경상남도교육청 진동도서관,경남,창원시,102085,4,2367,102085,57500
2023,LIBTYPE000002,2050148011,경상남도교육청 진양도서관,경남,진주시,118906,7,21083,115186,85840
2023,LIBTYPE000002,2050148008,경상남도교육청 진영도서관,경남,김해시,94239,5,1828,35257,83719
2023,LIBTYPE000002,2050148015,경상남도교육청 창녕도서관,경남,창녕군,114573,6,12169,46924,90992
2023,LIBTYPE000002,2050148001,경상남도교육청 창원도서관,경남,창원시,354396,19,14642,342957,273840
2023,LIBTYPE000002,2050148004,경상남도교육청 통영도서관,경남,통영시,106046,6,15268,55728,108440
2023,LIBTYPE000002,2050148010,경상남도교육청 하남도서관,경남,밀양시,81640,3,5806,24761,87440
2023,LIBTYPE000002,2050148020,경상남도교육청 하동도서관,경남,하동군,89547,5,12356,52501,89058
2023,LIBTYPE000002,2050148014,경상남도교육청 함안도서관,경남,함안군,78081,6,9076,66134,97840
2023,LIBTYPE000002,2050148022,경상남도교육청 함양도서관,경남,함양군,99097,5,5571,53878,96087
2023,LIBTYPE000002,2050148024,경상남도교육청 합천도서관,경남,합천군,98585,5,2548,48539,54320
2023,LIBTYPE000002,2050147021,경상북도교육청 고령도서관,경북,고령군,62363,4,1110,30708,51700
2023,LIBTYPE000002,2050147001,경상북도교육청 구미도서관,경북,구미시,242731,13,6376,258573,172278
2023,LIBTYPE000002,2050147012,경상북도교육청 금호도서관,경북,영천시,72974,4,1247,42525,52158
2023,LIBTYPE000002,2050147025,경상북도교육청 봉화도서관,경북,봉화군,87440,3,8877,33599,77840
2023,LIBTYPE000002,2050147003,경상북도교육청 상주도서관,경북,상주시,194611,13,5976,178516,140679
2023,LIBTYPE000002,2050147023,경상북도교육청 성주도서관,경북,성주군,85058,6,1327,43923,60499
2023,LIBTYPE000002,2050147002,경상북도교육청 안동도서관,경북,안동시,224070,14,4430,110782,187900
2023,LIBTYPE000002,2050147019,경상북도교육청 영덕도서관,경북,영덕군,73072,4,1297,41753,56000
2023,LIBTYPE000002,2050147018,경상북도교육청 영양도서관,경북,영양군,91033,4,812,24234,74000
